web-scraper-order,web-scraper-start-url,Name,Address
"1553474434-226","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 4A Nguyễn Chích","4A Nguyễn Chích, phường Vĩnh Hòa, thành phố Nha Trang, Tỉnh Khánh Hòa"
"1553474434-632","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ Golden River A4. SH05","Tầng 1, khối nhà HH6-4, Dự án Khu Trung Tâm Phức Hợp Sài Gòn – Ba Son, Số 02 Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh"
"1553474434-580","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 71 đường số 6","71 đường số 6,  KP1, Phường Linh Xuân, Quận Thủ Đức, Thành phố hồ chí minh"
"1553474434-535","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 79 Liên khu 5-6","79 liên khu 5-6 KP 5, Phường Bình Hưng Hòa B, Quận Bình Tân , TP. HCM"
"1553474434-205","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ E 156- 157 Hoàng Bá Bích","E 156- 157 Hoàng Bá Bích, Tổ 3, KP5, P Long Bình, TP Biên Hoà, Tỉnh Đồng Nai"
"1553474434-775","http://www.vinmartplus.vn/he-thong-cua-hang","VINMART+ 1132 Quốc lộ 50","1132 Quốc lộ 50, Ấp 3, Xã Bình Hưng, Huyện Bình Chánh"
"1553474434-674","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ CC Chí Linh 08","Căn hộ số PA 01.08, Block A, chung cư Dic Phoenix, khu trung tâm chí Linh, Phường Nguyễn An Ninh, thành phố Vũng Tàu, Việt Nam"
"1553474434-691","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ Số 1 Văn Cao","Số 1  Đường Văn Cao, Phường Phú Thạnh, Quận Tân Phú , Thành phố Hồ Chí Minh"
"1553474434-15","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HNI Số 63, TDP 1 Ngọc Trục","Số 63, TDP 1 , Ngọc Trục, phường Đại Mỗ, quận Nam Từ Liêm, Hà Nội"
"1553474434-498","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 86 Ngô Thì Nhậm","86 Ngô Thì Nhậm, KP Nhị Đồng 2, Phường Dĩ An, Thị Xã Dĩ An, Tỉnh Bình Dương"
"1553474434-546","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ Số 13 Đường 78","13 Đường  số 78, Âp Đình, Xã Tân Phú Trung, Huyện Củ Chi , TP. HCM"
"1553474434-379","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 110 Tiểu La","110 Tiểu La, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"
"1553474434-279","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 238 Đường số 9","238 đường số 9, phường 9, quận Gò Vấp , Thành phố Hồ Chí Minh"
"1553474434-888","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ 86 Lạc Trung","Số 86 Lạc Trung, phường Vĩnh Tuy, quận Hai Bà Trưng, Hà Nội"
"1553474434-59","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HPG 622B Thiên Lôi","622B Thiên Lôi, phường Vĩnh Niệm, Quận Lê Chân, Thành Phố Hải Phòng"
"1553474434-319","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 682 Đường Nguyễn Thị Định, KP 2","682 Nguyễn Thị Định, Khu Phố 2, Phường Thạnh Mỹ Lợi, Quận 2, thành phố Hồ chí Minh"
"1553474434-692","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 1206 Lê Đức Thọ","Số 1206 Lê Đức Thọ, Phường 13, Quận Gò Vấp, Thành phố Hồ Chí Minh"
"1553474434-153","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HPG 449 Thiên Lôi","449 Thiên Lôi, Phường Vĩnh Niệm, Quận Lê Chân, Hải Phòng"
"1553474434-583","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 23 24N Nguyễn Thị Tần","23N - 24N Nguyễn Thị Tần, Phường 2, Quận 8, TPHCM"
"1553474434-743","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HCM 57 Quang Trung","57 Quang Trung, phường Hiệp Phú, quận 9, thành phố Hồ Chí Minh."
"1553474434-815","http://www.vinmartplus.vn/he-thong-cua-hang","Vinmart+ Thái Sơn","Chung cư Thái Sơn - Khu G - Số A6/7 - đường QL1A - phường Tân Tạo A - quận Bình Tân - Tp.HCM"
"1553474434-51","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ QNH 388 Quang Trung","Số 388 Quang Trung, phường Quang Trung, Tp. Uông Bí, tỉnh Quảng Ninh"
"1553474434-810","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ 212-213 Phan Văn Khỏe","212-213 Phan Văn Khỏe, Phường 5, Quận 6, TP HCM"
"1553474434-800","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ HNI 9 Hoàng Công Chất","Số 9 đường Hoàng Công Chất, phường Phú Diễn, quận Bắc Từ Liêm, Hà Nội"
"1553474434-793","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ HNI 70-72 Tựu Liệt","Số 70-72 đường Tựu Liệt, thị trấn Văn Điển, huyện Thanh Trì, Hà Nôi"
"1553474434-175","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HNI P05 Park Hill","Nhà dịch vụ số P05S05 tầng 1, park hill, KĐT ""8-3 và Hanosimex"", số 25 ngõ 13, đường Lĩnh Nam, phường Mai Động, quận Hoàng Mai, thành phố Hà Nội."
"1553474434-159","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HNI 45 Vũ Tông Phan","Số 45 Vũ Tông Phan, phường Phường Khương Trung, Quận Thanh Xuân, Hà Nội"
"1553474434-251","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 160 Trần Quang Diệu","160 Trần Quang Diệu, phường An Thới, quận Bình Thủy, thành phố Cần Thơ"
"1553474434-625","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 241-243 Lê Văn Việt","241A- 243 Lê Văn Việt , Phường Hiệp Phú, Quận 9, TP. HCM"
"1553474434-405","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 190/2 Cách Mạng Tháng 8","190/2 CMT8, KP Thạnh Lợi, Phường An Thạnh, Thị Xã Thuận An, Tỉnh Bình Dương"
"1553474434-758","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HCM D6/22 Ng Thị Tú","D6/22 Nguyễn Thị Tú, Ấp 4, Xã Vĩnh Lộc B, Huyện Bình Chánh, Tp. Hồ Chí Minh"
"1553474434-474","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ Lô 131 Khu C1, Nại Hiên Đông","Lô 131, Khu C1, KDC Làng Cá Nại Hiên Đông, Phường Nại Hiên Đông, Quận Sơn Trà, Thành PHố Đà Nẵng"
"1553474434-999","http://www.vinmartplus.vn/he-thong-cua-hang","VinMart+ 502 Đội Cấn","Số 502 Đội Cấn, phường Cống Vị, quận Ba Đình, Hà Nội"
"1553474434-155","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ HNI G3AB Yên Hòa Sunshine","Tầng 1 Chung cư Yên Hòa Sunshine, Số 9 phố Vũ Phạm Hàm, Phường Yên Hòa, quận Cầu Giấy, Hà Nội"
"1553474434-524","http://www.vinmartplus.vn/he-thong-cua-hang","VM+ 411 Nguyễn Văn Tăng","411 Nguyễn Văn Tăng, Phường Long Thạnh Mỹ, Quận 9, Thành Phố Hồ Chí Minh"
